STUSAB,GEOID,STATE,COUNTY,UR,NAME,Total_20,WNH_20,Hispanic_20,Black_20,AIAN_20,Asian_20,PI_20,Other_20
FL,1202925,12,NA,NA,Bagdad CDP,4467,3533,195,405,206,119,16,179
FL,1203250,12,NA,NA,Baldwin town,1396,938,64,342,30,17,1,60
FL,1203275,12,NA,NA,Bal Harbour village,3093,2036,829,60,12,71,8,701
FL,1203375,12,NA,NA,Balm CDP,6541,2025,2122,2249,138,256,18,1636
FL,1203480,12,NA,NA,Bardmoor CDP,9852,7506,948,525,234,617,11,817
FL,1203675,12,NA,NA,Bartow city,19309,10576,3417,4750,378,375,34,2484
FL,1203725,12,NA,NA,Bascom town,87,74,4,10,0,0,0,4
FL,1203975,12,NA,NA,Bay Harbor Islands town,5922,2748,2737,205,37,110,2,2187
FL,1204070,12,NA,NA,Bay Hill CDP,5021,3438,606,191,56,660,9,592
FL,1204150,12,NA,NA,Bay Lake city,29,13,7,2,4,2,2,11
FL,1204162,12,NA,NA,Bayonet Point CDP,26713,20042,4111,1604,644,527,52,2921
FL,1204200,12,NA,NA,Bay Pines CDP,3106,2710,166,84,45,86,5,141
FL,1204250,12,NA,NA,Bayport CDP,45,42,1,0,1,1,0,1
FL,1204350,12,NA,NA,Bayshore Gardens CDP,19904,11566,5668,2154,384,313,31,4494
FL,1204650,12,NA,NA,Beacon Square CDP,8320,6080,1217,702,162,209,16,888
FL,1204735,12,NA,NA,Bear Creek CDP,1906,1585,142,64,44,57,2,142
FL,1204925,12,NA,NA,Bee Ridge CDP,9955,8379,819,216,129,342,16,754
FL,1204975,12,NA,NA,Bell town,518,335,130,23,22,9,4,122
